v,t
0.0,0.0
0.1,0.1
0.2,0.2
0.3,0.3
0.4,0.4
0.5,0.5
0.6000000000000001,0.6000000000000001
0.7000000000000001,0.7000000000000001
0.8,0.8
0.9,0.9
1.0,1.0
1.1,1.1
1.2000000000000002,1.2000000000000002
1.3,1.3
1.4,1.4
1.5,1.5
1.6,1.6
1.7000000000000002,1.7000000000000002
1.8,1.8
1.9,1.9
2.0,2.0
2.1,2.1
2.2,2.2
2.3000000000000003,2.3000000000000003
2.4000000000000004,2.4000000000000004
2.5,2.5
2.6,2.6
2.7,2.7
2.8000000000000003,2.8000000000000003
2.9000000000000004,2.9000000000000004
3.0,3.0
3.1,3.1
3.2,3.2
3.3000000000000003,3.3000000000000003
3.4000000000000004,3.4000000000000004
3.5,3.5
3.6,3.6
3.7,3.7
3.8,3.8
3.9,3.9
4.0,4.0
4.1000000000000005,4.1000000000000005
4.2,4.2
4.3,4.3
4.4,4.4
4.5,4.5
4.6000000000000005,4.6000000000000005
4.7,4.7
4.800000000000001,4.800000000000001
4.9,4.9
5.0,5.0
5.1000000000000005,5.1000000000000005
5.2,5.2
5.300000000000001,5.300000000000001
5.4,5.4
5.5,5.5
5.6000000000000005,5.6000000000000005
5.7,5.7
5.800000000000001,5.800000000000001
5.9,5.9
6.0,6.0
6.1000000000000005,6.1000000000000005
6.2,6.2
6.300000000000001,6.300000000000001
6.4,6.4
6.5,6.5
6.6000000000000005,6.6000000000000005
6.7,6.7
6.800000000000001,6.800000000000001
6.9,6.9
7.0,7.0
7.1000000000000005,7.1000000000000005
7.2,7.2
7.300000000000001,7.300000000000001
7.4,7.4
7.5,7.5
7.6,7.6
7.699999999999999,7.7
7.800000000000001,7.800000000000001
7.900000000000001,7.9
8.0,8.0
8.1,8.1
8.200000000000001,8.200000000000001
8.3,8.3
8.4,8.4
8.5,8.5
8.6,8.6
8.700000000000001,8.700000000000001
8.8,8.8
8.9,8.9
9.0,9.0
9.1,9.1
9.2,9.2
9.3,9.3
9.4,9.4
9.5,9.5
9.6,9.6
9.7,9.7
9.8,9.8
9.9,9.9
10.0,10.0
10.1,10.1
10.2,10.2
10.3,10.3
10.4,10.4
10.5,10.5
10.6,10.6
10.7,10.7
10.8,10.8
10.9,10.9
11.0,11.0
11.1,11.1
11.2,11.2
11.3,11.3
11.4,11.4
11.5,11.5
11.6,11.6
11.7,11.7
11.8,11.8
11.9,11.9
12.0,12.0
12.1,12.1
12.2,12.2
12.3,12.3
12.4,12.4
12.5,12.5
12.6,12.6
12.7,12.7
12.8,12.8
12.9,12.9
13.0,13.0
13.1,13.1
13.2,13.2
13.3,13.3
13.4,13.4
13.5,13.5
13.6,13.6
13.7,13.7
13.8,13.8
13.9,13.9
14.0,14.0
14.1,14.1
14.2,14.2
14.3,14.3
14.4,14.4
14.5,14.5
14.6,14.6
14.7,14.7
14.8,14.8
14.9,14.9
15.0,15.0
15.1,15.1
15.2,15.2
15.3,15.3
15.4,15.4
15.500000000000002,15.5
15.6,15.6
15.7,15.7
15.800000000000002,15.8
15.9,15.9
16.0,16.0
16.1,16.1
16.2,16.2
16.3,16.3
16.400000000000002,16.400000000000002
16.5,16.5
16.6,16.6
16.7,16.7
16.8,16.8
16.900000000000002,16.900000000000002
17.0,17.0
17.1,17.1
17.2,17.2
17.3,17.3
17.400000000000002,17.400000000000002
17.5,17.5
17.6,17.6
17.7,17.7
17.8,17.8
17.900000000000002,17.900000000000002
18.0,18.0
18.1,18.1
18.2,18.2
18.3,18.3
18.4,18.4
18.5,18.5
18.6,18.6
18.7,18.7
18.8,18.8
18.9,18.9
19.0,19.0
19.1,19.1
19.200000000000003,19.200000000000003
19.3,19.3
19.4,19.4
19.5,19.5
19.6,19.6
19.700000000000003,19.700000000000003
19.8,19.8
19.9,19.9
20.0,20.0
20.1,20.1
20.200000000000003,20.200000000000003
20.3,20.3
20.4,20.4
20.5,20.5
20.6,20.6
20.700000000000003,20.700000000000003
20.8,20.8
20.9,20.9
21.0,21.0
21.1,21.1
21.200000000000003,21.200000000000003
21.3,21.3
21.4,21.4
21.5,21.5
21.6,21.6
21.700000000000003,21.700000000000003
21.8,21.8
21.9,21.9
22.0,22.0
22.1,22.1
22.200000000000003,22.200000000000003
22.3,22.3
22.4,22.4
22.5,22.5
22.6,22.6
22.700000000000003,22.700000000000003
22.8,22.8
22.9,22.9
23.0,23.0
23.1,23.1
23.200000000000003,23.200000000000003
23.3,23.3
23.4,23.4
23.5,23.5
23.6,23.6
23.700000000000003,23.700000000000003
23.8,23.8
23.9,23.9
24.0,24.0
24.1,24.1
24.200000000000003,24.200000000000003
24.3,24.3
24.4,24.4
24.5,24.5
24.6,24.6
24.700000000000003,24.700000000000003
24.8,24.8
24.9,24.9
25.0,25.0
25.1,25.1
25.200000000000003,25.200000000000003
25.3,25.3
25.4,25.4
25.5,25.5
25.6,25.6
25.700000000000003,25.700000000000003
25.8,25.8
25.9,25.9
26.0,26.0
26.1,26.1
26.200000000000003,26.200000000000003
26.3,26.3
26.4,26.4
26.5,26.5
26.6,26.6
26.700000000000003,26.700000000000003
26.8,26.8
26.9,26.9
27.0,27.0
27.1,27.1
27.200000000000003,27.200000000000003
27.3,27.3
27.4,27.4
27.5,27.5
27.6,27.6
27.700000000000003,27.700000000000003
27.8,27.8
27.9,27.9
28.0,28.0
28.1,28.1
28.200000000000003,28.200000000000003
28.3,28.3
28.4,28.4
28.5,28.5
28.6,28.6
28.700000000000003,28.700000000000003
28.8,28.8
28.9,28.9
29.0,29.0
29.1,29.1
29.200000000000003,29.200000000000003
29.3,29.3
29.4,29.4
29.5,29.5
29.6,29.6
29.700000000000003,29.700000000000003
29.8,29.8
29.9,29.9
30.0,30.0
30.0,30.1
30.0,30.200000000000003
30.0,30.3
30.0,30.4
30.0,30.5
30.0,30.6
30.0,30.700000000000003
30.0,30.8
30.0,30.9
30.0,31.0
30.0,31.1
30.0,31.200000000000003
30.0,31.3
30.0,31.4
30.0,31.5
30.0,31.6
30.0,31.700000000000003
30.0,31.8
30.0,31.9
30.0,32.0
30.0,32.1
30.0,32.2
30.0,32.300000000000004
30.0,32.4
30.0,32.5
30.0,32.6
30.0,32.7
30.0,32.800000000000004
30.0,32.9
30.0,33.0
30.0,33.1
30.0,33.2
30.0,33.300000000000004
30.0,33.4
30.0,33.5
30.0,33.6
30.0,33.7
30.0,33.800000000000004
30.0,33.9
30.0,34.0
30.0,34.1
30.0,34.2
30.0,34.300000000000004
30.0,34.4
30.0,34.5
30.0,34.6
30.0,34.7
30.0,34.800000000000004
30.0,34.9
30.0,35.0
30.0,35.1
30.0,35.2
30.0,35.300000000000004
30.0,35.4
30.0,35.5
30.0,35.6
30.0,35.7
30.0,35.800000000000004
30.0,35.9
30.0,36.0
30.0,36.1
30.0,36.2
30.0,36.3
30.0,36.4
30.0,36.5
30.0,36.6
30.0,36.7
30.0,36.8
30.0,36.9
30.0,37.0
30.0,37.1
30.0,37.2
30.0,37.3
30.0,37.4
30.0,37.5
30.0,37.6
30.0,37.7
30.0,37.8
30.0,37.9
30.0,38.0
30.0,38.1
30.0,38.2
30.0,38.3
30.0,38.400000000000006
30.0,38.5
30.0,38.6
30.0,38.7
30.0,38.8
30.0,38.900000000000006
30.0,39.0
30.0,39.1
30.0,39.2
30.0,39.3
30.0,39.400000000000006
30.0,39.5
30.0,39.6
30.0,39.7
30.0,39.8
30.0,39.900000000000006
30.0,40.0
30.0,40.1
30.0,40.2
30.0,40.3
30.0,40.400000000000006
30.0,40.5
30.0,40.6
30.0,40.7
30.0,40.8
30.0,40.900000000000006
30.0,41.0
30.0,41.1
30.0,41.2
30.0,41.3
30.0,41.400000000000006
30.0,41.5
30.0,41.6
30.0,41.7
30.0,41.8
30.0,41.900000000000006
30.0,42.0
30.0,42.1
30.0,42.2
30.0,42.3
30.0,42.400000000000006
30.0,42.5
30.0,42.6
30.0,42.7
30.0,42.8
30.0,42.900000000000006
30.0,43.0
30.0,43.1
30.0,43.2
30.0,43.3
30.0,43.400000000000006
30.0,43.5
30.0,43.6
30.0,43.7
30.0,43.8
30.0,43.900000000000006
30.0,44.0
30.0,44.1
30.0,44.2
30.0,44.3
30.0,44.400000000000006
30.0,44.5
30.0,44.6
30.0,44.7
30.0,44.8
30.0,44.900000000000006
30.0,45.0
30.0,45.1
30.0,45.2
30.0,45.3
30.0,45.400000000000006
30.0,45.5
30.0,45.6
30.0,45.7
30.0,45.8
30.0,45.900000000000006
30.0,46.0
30.0,46.1
30.0,46.2
30.0,46.3
30.0,46.400000000000006
30.0,46.5
30.0,46.6
30.0,46.7
30.0,46.8
30.0,46.900000000000006
30.0,47.0
30.0,47.1
30.0,47.2
30.0,47.3
30.0,47.400000000000006
30.0,47.5
30.0,47.6
30.0,47.7
30.0,47.8
30.0,47.900000000000006
30.0,48.0
30.0,48.1
30.0,48.2
30.0,48.3
30.0,48.400000000000006
30.0,48.5
30.0,48.6
30.0,48.7
30.0,48.8
30.0,48.900000000000006
30.0,49.0
30.0,49.1
30.0,49.2
30.0,49.3
30.0,49.400000000000006
30.0,49.5
30.0,49.6
30.0,49.7
30.0,49.8
30.0,49.900000000000006
30.0,50.0
30.0,50.1
30.0,50.2
30.0,50.3
30.0,50.400000000000006
30.0,50.5
30.0,50.6
30.0,50.7
30.0,50.8
30.0,50.900000000000006
30.0,51.0
30.0,51.1
30.0,51.2
30.0,51.3
30.0,51.400000000000006
30.0,51.5
30.0,51.6
30.0,51.7
30.0,51.8
30.0,51.900000000000006
30.0,52.0
30.0,52.1
30.0,52.2
30.0,52.3
30.0,52.400000000000006
30.0,52.5
30.0,52.6
30.0,52.7
30.0,52.8
30.0,52.900000000000006
30.0,53.0
30.0,53.1
30.0,53.2
30.0,53.3
30.0,53.400000000000006
30.0,53.5
30.0,53.6
30.0,53.7
30.0,53.8
30.0,53.900000000000006
30.0,54.0
30.0,54.1
30.0,54.2
30.0,54.3
30.0,54.400000000000006
30.0,54.5
30.0,54.6
30.0,54.7
30.0,54.8
30.0,54.900000000000006
30.0,55.0
30.0,55.1
30.0,55.2
30.0,55.3
30.0,55.400000000000006
30.0,55.5
30.0,55.6
30.0,55.7
30.0,55.8
30.0,55.900000000000006
30.0,56.0
30.0,56.1
30.0,56.2
30.0,56.3
30.0,56.400000000000006
30.0,56.5
30.0,56.6
30.0,56.7
30.0,56.8
30.0,56.900000000000006
30.0,57.0
30.0,57.1
30.0,57.2
30.0,57.3
30.0,57.400000000000006
30.0,57.5
30.0,57.6
30.0,57.7
30.0,57.8
30.0,57.900000000000006
30.0,58.0
30.0,58.1
30.0,58.2
30.0,58.3
30.0,58.400000000000006
30.0,58.5
30.0,58.6
30.0,58.7
30.0,58.8
30.0,58.900000000000006
30.0,59.0
30.0,59.1
30.0,59.2
30.0,59.3
30.0,59.400000000000006
30.0,59.5
30.0,59.6
30.0,59.7
30.0,59.8
30.0,59.900000000000006
30.0,60.0
29.925,60.1
29.85,60.2
29.775,60.3
29.7,60.400000000000006
29.625,60.5
29.55,60.6
29.475,60.7
29.4,60.8
29.325,60.900000000000006
29.25,61.0
29.175,61.1
29.1,61.2
29.025,61.3
28.95,61.400000000000006
28.875,61.5
28.8,61.6
28.725,61.7
28.65,61.8
28.575,61.900000000000006
28.5,62.0
28.425,62.1
28.35,62.2
28.275,62.3
28.2,62.400000000000006
28.125,62.5
28.05,62.6
27.975,62.7
27.9,62.8
27.825,62.900000000000006
27.75,63.0
27.675,63.1
27.6,63.2
27.525,63.3
27.45,63.400000000000006
27.375,63.5
27.3,63.6
27.225,63.7
27.15,63.8
27.075,63.900000000000006
27.0,64.0
26.924999999999997,64.10000000000001
26.85,64.2
26.775,64.3
26.7,64.4
26.625,64.5
26.549999999999997,64.60000000000001
26.475,64.7
26.4,64.8
26.325,64.9
26.25,65.0
26.174999999999997,65.10000000000001
26.1,65.2
26.025,65.3
25.95,65.4
25.875,65.5
25.799999999999997,65.60000000000001
25.725,65.7
25.65,65.8
25.575,65.9
25.5,66.0
25.424999999999997,66.10000000000001
25.35,66.2
25.275,66.3
25.2,66.4
25.125,66.5
25.049999999999997,66.60000000000001
24.975,66.7
24.9,66.8
24.825,66.9
24.75,67.0
24.674999999999997,67.10000000000001
24.6,67.2
24.525,67.3
24.45,67.4
24.375,67.5
24.299999999999997,67.60000000000001
24.225,67.7
24.15,67.8
24.075,67.9
24.0,68.0
23.924999999999997,68.10000000000001
23.85,68.2
23.775,68.3
23.7,68.4
23.625,68.5
23.549999999999997,68.60000000000001
23.475,68.7
23.4,68.8
23.325,68.9
23.25,69.0
23.174999999999997,69.10000000000001
23.1,69.2
23.025,69.3
22.95,69.4
22.875,69.5
22.799999999999997,69.60000000000001
22.725,69.7
22.65,69.8
22.575,69.9
22.5,70.0
22.424999999999997,70.10000000000001
22.35,70.2
22.275,70.3
22.2,70.4
22.125,70.5
22.049999999999997,70.60000000000001
21.975,70.7
21.9,70.8
21.825,70.9
21.75,71.0
21.674999999999997,71.10000000000001
21.6,71.2
21.525,71.3
21.45,71.4
21.375,71.5
21.299999999999997,71.60000000000001
21.225,71.7
21.15,71.8
21.075,71.9
21.0,72.0
20.924999999999997,72.10000000000001
20.85,72.2
20.775,72.3
20.7,72.4
20.625,72.5
20.549999999999997,72.60000000000001
20.475,72.7
20.4,72.8
20.325,72.9
20.25,73.0
20.174999999999997,73.10000000000001
20.1,73.2
20.025,73.3
19.95,73.4
19.875,73.5
19.799999999999997,73.60000000000001
19.725,73.7
19.65,73.8
19.575,73.9
19.5,74.0
19.424999999999997,74.10000000000001
19.35,74.2
19.275,74.3
19.2,74.4
19.125,74.5
19.049999999999997,74.60000000000001
18.975,74.7
18.9,74.8
18.825,74.9
18.75,75.0
18.674999999999997,75.10000000000001
18.6,75.2
18.525,75.3
18.45,75.4
18.375,75.5
18.299999999999997,75.60000000000001
18.225,75.7
18.15,75.8
18.075,75.9
18.0,76.0
17.924999999999994,76.10000000000001
17.849999999999998,76.2
17.775000000000002,76.3
17.699999999999996,76.4
17.625,76.5
17.549999999999994,76.60000000000001
17.474999999999998,76.7
17.39999999999999,76.80000000000001
17.324999999999996,76.9
17.25,77.0
17.174999999999994,77.10000000000001
17.099999999999998,77.2
17.02499999999999,77.30000000000001
16.949999999999996,77.4
16.875,77.5
16.799999999999994,77.60000000000001
16.724999999999998,77.7
16.64999999999999,77.80000000000001
16.574999999999996,77.9
16.5,78.0
16.424999999999994,78.10000000000001
16.349999999999998,78.2
16.27499999999999,78.30000000000001
16.199999999999996,78.4
16.125,78.5
16.049999999999994,78.60000000000001
15.974999999999998,78.7
15.899999999999991,78.80000000000001
15.824999999999996,78.9
15.75,79.0
15.674999999999994,79.10000000000001
15.599999999999998,79.2
15.524999999999991,79.30000000000001
15.449999999999996,79.4
15.375,79.5
15.299999999999994,79.60000000000001
15.224999999999998,79.7
15.149999999999991,79.80000000000001
15.074999999999996,79.9
15.0,80.0
15.0,80.10000000000001
15.0,80.2
15.0,80.30000000000001
15.0,80.4
15.0,80.5
15.0,80.60000000000001
15.0,80.7
15.0,80.80000000000001
15.0,80.9
15.0,81.0
15.0,81.10000000000001
15.0,81.2
15.0,81.30000000000001
15.0,81.4
15.0,81.5
15.0,81.60000000000001
15.0,81.7
15.0,81.80000000000001
15.0,81.9
15.0,82.0
15.0,82.10000000000001
15.0,82.2
15.0,82.30000000000001
15.0,82.4
15.0,82.5
15.0,82.60000000000001
15.0,82.7
15.0,82.80000000000001
15.0,82.9
15.0,83.0
15.0,83.10000000000001
15.0,83.2
15.0,83.30000000000001
15.0,83.4
15.0,83.5
15.0,83.60000000000001
15.0,83.7
15.0,83.80000000000001
15.0,83.9
15.0,84.0
15.0,84.10000000000001
15.0,84.2
15.0,84.30000000000001
15.0,84.4
15.0,84.5
15.0,84.60000000000001
15.0,84.7
15.0,84.80000000000001
15.0,84.9
15.0,85.0
15.0,85.10000000000001
15.0,85.2
15.0,85.30000000000001
15.0,85.4
15.0,85.5
15.0,85.60000000000001
15.0,85.7
15.0,85.80000000000001
15.0,85.9
15.0,86.0
15.0,86.10000000000001
15.0,86.2
15.0,86.30000000000001
15.0,86.4
15.0,86.5
15.0,86.60000000000001
15.0,86.7
15.0,86.80000000000001
15.0,86.9
15.0,87.0
15.0,87.10000000000001
15.0,87.2
15.0,87.30000000000001
15.0,87.4
15.0,87.5
15.0,87.60000000000001
15.0,87.7
15.0,87.80000000000001
15.0,87.9
15.0,88.0
15.0,88.10000000000001
15.0,88.2
15.0,88.30000000000001
15.0,88.4
15.0,88.5
15.0,88.60000000000001
15.0,88.7
15.0,88.80000000000001
15.0,88.9
15.0,89.0
15.0,89.10000000000001
15.0,89.2
15.0,89.30000000000001
15.0,89.4
15.0,89.5
15.0,89.60000000000001
15.0,89.7
15.0,89.80000000000001
15.0,89.9
15.0,90.0
15.0,90.1
15.0,90.2
15.0,90.3
